Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
18,Japan,Apple Music,Rock,68,445,Billie Eilish,Free,Morning,22.2,36.93
42,Brazil,Deezer,Classical,407,320,Taylor Swift,Premium,Morning,14.82,46.78
38,UK,Spotify,Hip-Hop,279,454,Post Malone,Premium,Afternoon,10.35,36.1
60,Brazil,Spotify,R&B,217,130,Adele,Premium,Afternoon,27.88,76.29
52,UK,Spotify,Classical,544,251,Ed Sheeran,Free,Morning,18.73,70.16
17,Japan,Tidal,EDM,115,56,Post Malone,Premium,Morning,31.73,69.45
36,South Korea,Spotify,Metal,47,30,Adele,Premium,Afternoon,33.15,11.9
59,France,YouTube,Pop,516,296,Post Malone,Premium,Night,19.96,42.11
56,Australia,Tidal,Pop,130,234,Dua Lipa,Free,Night,66.26,68.13
47,Australia,Deezer,Pop,251,430,Bad Bunny,Free,Night,10.66,63.66
23,India,Deezer,R&B,551,42,Drake,Free,Afternoon,20.42,53.36
13,Japan,Apple Music,Metal,133,384,Drake,Premium,Night,29.55,36.74
17,Brazil,Deezer,Reggae,260,463,Drake,Premium,Night,85.54,59.2
30,Australia,Amazon Music,Hip-Hop,53,173,Dua Lipa,Free,Afternoon,48.44,8.81
54,Japan,Apple Music,Classical,510,287,BTS,Premium,Morning,68.26,39.68
14,India,YouTube,Jazz,598,303,Drake,Premium,Night,51.06,78.74
60,Canada,Amazon Music,Classical,478,419,Bad Bunny,Free,Night,23.24,28.77
22,South Korea,Amazon Music,EDM,192,469,Dua Lipa,Premium,Afternoon,13.93,45.67
37,UK,Spotify,EDM,125,40,Ed Sheeran,Free,Afternoon,43.37,45.82
47,France,YouTube,Country,175,228,BTS,Free,Afternoon,62.49,69.84
34,UK,YouTube,Jazz,569,259,Dua Lipa,Premium,Night,79.32,70.22
22,Germany,YouTube,EDM,574,112,The Weeknd,Free,Afternoon,36.43,43.05
44,South Korea,Amazon Music,Hip-Hop,580,14,Adele,Free,Afternoon,25.91,18.19
25,UK,Amazon Music,Jazz,28,479,Dua Lipa,Free,Afternoon,43.02,10.11
55,Australia,YouTube,Reggae,348,349,Dua Lipa,Premium,Morning,31.27,76.51
41,UK,Deezer,Reggae,298,138,Adele,Premium,Morning,32.05,77.34
43,Canada,Amazon Music,Rock,454,328,Post Malone,Premium,Afternoon,71.16,58.49
52,Brazil,Deezer,Jazz,287,169,The Weeknd,Free,Morning,71.09,26.84
51,UK,Apple Music,R&B,496,136,The Weeknd,Premium,Morning,57.83,41.28
57,Australia,Spotify,Rock,284,34,Drake,Premium,Morning,51.95,42.3
32,France,Tidal,Reggae,468,425,Drake,Free,Night,28.95,34.87
38,India,Spotify,Hip-Hop,148,59,Drake,Free,Night,74.24,66.57
27,India,Tidal,Classical,228,26,Adele,Free,Afternoon,76.55,46.34
20,Australia,Tidal,Reggae,109,132,BTS,Free,Night,50.08,44.99
23,Australia,Apple Music,Rock,508,39,Taylor Swift,Premium,Afternoon,10.28,39.78
14,Brazil,Apple Music,R&B,344,184,Ed Sheeran,Premium,Afternoon,14.0,23.1
46,France,Tidal,Classical,422,129,Post Malone,Free,Night,24.78,43.35
42,Germany,YouTube,Country,335,29,Bad Bunny,Free,Night,63.28,62.01
30,USA,Deezer,Country,527,369,Dua Lipa,Premium,Night,66.11,8.74
25,Brazil,Amazon Music,Classical,321,203,Post Malone,Premium,Morning,86.25,43.09
27,UK,YouTube,R&B,372,140,Bad Bunny,Premium,Afternoon,26.79,68.34
60,USA,Apple Music,Hip-Hop,547,488,Dua Lipa,Premium,Night,36.83,22.77
19,South Korea,Apple Music,Hip-Hop,393,255,Dua Lipa,Premium,Afternoon,26.13,56.0
51,Germany,YouTube,Metal,534,498,Dua Lipa,Premium,Morning,62.39,77.44
39,South Korea,Amazon Music,Jazz,371,299,The Weeknd,Premium,Night,32.78,17.24
42,Brazil,Apple Music,Jazz,87,298,Ed Sheeran,Free,Night,42.83,24.87
49,Canada,Amazon Music,Country,331,193,Billie Eilish,Premium,Morning,40.82,27.24
28,South Korea,Tidal,R&B,132,176,Adele,Premium,Afternoon,32.56,43.5
24,South Korea,Deezer,Metal,400,167,Bad Bunny,Free,Night,17.32,22.94
45,South Korea,Apple Music,Reggae,161,37,Taylor Swift,Premium,Morning,22.35,18.3
60,South Korea,Spotify,Jazz,469,283,Post Malone,Premium,Afternoon,23.86,50.0
50,South Korea,Deezer,Country,299,431,Ed Sheeran,Premium,Afternoon,74.46,59.95
51,India,Deezer,Classical,411,397,Bad Bunny,Free,Morning,10.65,28.68
52,Australia,Deezer,Pop,153,285,Taylor Swift,Premium,Night,44.92,9.51
53,France,Deezer,Classical,28,96,Adele,Premium,Morning,16.16,44.11
14,Japan,YouTube,Jazz,566,375,Dua Lipa,Premium,Afternoon,69.02,42.57
39,South Korea,Deezer,Classical,105,489,Post Malone,Free,Morning,16.38,33.86
23,Brazil,Apple Music,Pop,395,486,Dua Lipa,Premium,Morning,10.89,47.7
56,Brazil,Deezer,R&B,60,129,Bad Bunny,Free,Morning,19.53,49.34
49,Canada,Amazon Music,Classical,546,172,Drake,Free,Night,75.23,73.38
42,Germany,Apple Music,Reggae,319,178,Billie Eilish,Free,Night,40.95,25.71
16,UK,Spotify,Classical,434,490,Adele,Free,Afternoon,61.01,11.48
46,UK,Amazon Music,Hip-Hop,286,35,Bad Bunny,Premium,Morning,20.76,42.31
19,Brazil,Spotify,Country,133,165,Dua Lipa,Premium,Afternoon,64.35,79.59
38,India,Tidal,Country,206,15,Dua Lipa,Premium,Night,11.27,7.23
35,France,Tidal,Jazz,240,143,BTS,Free,Morning,14.49,15.15
20,UK,Tidal,EDM,424,394,Drake,Free,Night,28.52,72.63
20,USA,Apple Music,Jazz,125,1,Bad Bunny,Premium,Afternoon,49.01,15.56
40,India,Apple Music,Classical,341,123,Adele,Free,Afternoon,25.95,37.22
31,Germany,YouTube,R&B,455,495,Dua Lipa,Premium,Afternoon,81.59,60.02
32,South Korea,Spotify,Jazz,327,119,Billie Eilish,Free,Morning,83.12,28.14
14,India,Amazon Music,Country,196,97,Drake,Free,Afternoon,60.19,5.49
32,France,Spotify,EDM,78,163,Adele,Free,Morning,67.37,26.63
51,India,Deezer,Metal,141,317,Bad Bunny,Free,Afternoon,77.2,23.83
54,Australia,Spotify,EDM,385,388,Billie Eilish,Free,Night,17.4,56.1
25,South Korea,Tidal,R&B,52,405,Post Malone,Premium,Afternoon,35.11,39.18
41,France,YouTube,Pop,70,411,Ed Sheeran,Premium,Morning,78.6,58.73
52,France,Apple Music,Rock,275,462,Post Malone,Free,Afternoon,76.1,70.72
40,Canada,YouTube,Metal,403,301,Post Malone,Free,Morning,77.69,39.15
58,USA,Spotify,Reggae,436,215,Adele,Premium,Night,14.74,30.92
44,USA,Tidal,Pop,207,76,Taylor Swift,Free,Morning,55.75,56.6
39,Brazil,Tidal,Hip-Hop,35,79,Post Malone,Premium,Night,12.44,56.69
20,Brazil,Deezer,Hip-Hop,124,422,Billie Eilish,Premium,Night,88.24,48.38
28,UK,Amazon Music,Country,62,420,BTS,Premium,Night,50.18,31.94
27,South Korea,Apple Music,Pop,136,101,Adele,Free,Morning,64.6,54.91
36,Brazil,Amazon Music,Hip-Hop,117,197,The Weeknd,Premium,Afternoon,36.99,35.78
43,Canada,Amazon Music,Reggae,199,424,Dua Lipa,Free,Night,44.27,60.19
30,Australia,Tidal,Jazz,17,36,Dua Lipa,Premium,Night,88.89,25.24
54,India,YouTube,Hip-Hop,580,284,The Weeknd,Free,Afternoon,26.33,27.34
48,Germany,Deezer,EDM,174,56,The Weeknd,Premium,Morning,84.14,19.83
36,Australia,Apple Music,Reggae,524,55,Post Malone,Free,Morning,23.25,9.47
43,France,Amazon Music,Reggae,134,174,Billie Eilish,Premium,Afternoon,46.36,70.62
20,France,Apple Music,Rock,164,53,Dua Lipa,Premium,Night,35.24,33.09
59,India,Spotify,R&B,557,491,Dua Lipa,Premium,Morning,74.26,22.02
48,South Korea,YouTube,Hip-Hop,401,431,BTS,Premium,Night,33.27,60.32
16,France,Amazon Music,R&B,110,478,Adele,Premium,Night,78.58,71.95
37,Australia,YouTube,R&B,346,109,Bad Bunny,Premium,Morning,72.43,59.46
33,India,YouTube,Reggae,509,81,Post Malone,Free,Morning,61.13,75.14
54,France,Deezer,Rock,244,122,Ed Sheeran,Free,Afternoon,32.22,36.95
32,Japan,Spotify,Jazz,489,428,BTS,Free,Morning,79.19,47.56
22,Canada,Amazon Music,R&B,505,79,Adele,Free,Morning,34.41,14.55
40,Japan,Deezer,Metal,523,88,The Weeknd,Premium,Afternoon,48.27,40.69
57,South Korea,Amazon Music,Classical,548,87,Adele,Free,Morning,45.91,9.03
58,USA,Amazon Music,Hip-Hop,280,90,Dua Lipa,Free,Night,48.07,9.46
31,Japan,Spotify,Jazz,488,473,Dua Lipa,Free,Morning,18.18,15.05
33,UK,Tidal,R&B,120,340,Billie Eilish,Free,Night,46.59,26.22
21,Japan,Amazon Music,Rock,419,484,The Weeknd,Premium,Morning,69.39,21.67
34,France,YouTube,R&B,287,237,Bad Bunny,Free,Morning,35.63,78.75
57,Australia,Deezer,R&B,534,277,Dua Lipa,Free,Afternoon,53.91,9.02
48,USA,Spotify,Reggae,163,378,Post Malone,Premium,Morning,88.9,73.29
40,Brazil,Tidal,Reggae,566,206,Dua Lipa,Premium,Afternoon,66.58,77.25
54,France,Amazon Music,EDM,45,290,Drake,Free,Morning,72.84,7.02
22,Brazil,Tidal,Metal,228,469,Billie Eilish,Free,Night,67.96,55.81
16,UK,Tidal,Metal,21,172,Ed Sheeran,Premium,Morning,70.52,41.3
52,South Korea,Tidal,Pop,583,230,Taylor Swift,Premium,Night,33.53,15.93
20,India,Amazon Music,R&B,116,480,Billie Eilish,Free,Morning,68.43,39.56
48,France,Spotify,Metal,379,364,Post Malone,Premium,Afternoon,26.93,79.48
45,Brazil,Tidal,Classical,241,321,Dua Lipa,Premium,Night,59.08,37.5
22,Australia,Deezer,Hip-Hop,477,183,Ed Sheeran,Free,Afternoon,47.47,52.97
47,Japan,Tidal,Jazz,400,195,Adele,Premium,Afternoon,86.46,45.61
20,India,Spotify,Pop,214,194,Billie Eilish,Premium,Night,78.51,49.71
57,Germany,Apple Music,Metal,533,365,Adele,Free,Night,70.87,36.11
24,Canada,Amazon Music,EDM,268,238,Post Malone,Premium,Night,82.37,17.96
38,Canada,Tidal,EDM,152,367,Taylor Swift,Premium,Morning,21.57,53.34
38,India,Apple Music,Reggae,43,445,Taylor Swift,Free,Morning,19.02,23.67
23,Germany,Apple Music,Reggae,490,443,Bad Bunny,Free,Morning,22.0,63.1
27,Japan,Amazon Music,Classical,202,94,Post Malone,Premium,Night,35.22,26.3
17,South Korea,Amazon Music,Reggae,496,278,Ed Sheeran,Free,Afternoon,70.24,54.17
36,Brazil,YouTube,EDM,224,139,Post Malone,Premium,Night,47.81,35.3
19,USA,Apple Music,Reggae,525,47,Billie Eilish,Premium,Afternoon,86.43,34.61
26,UK,Deezer,Rock,166,78,Bad Bunny,Premium,Morning,41.5,8.62
60,USA,Spotify,Reggae,475,31,Ed Sheeran,Premium,Morning,25.26,50.96
41,South Korea,Spotify,EDM,315,29,Drake,Free,Morning,36.78,69.28
18,South Korea,Tidal,Classical,310,258,Post Malone,Free,Morning,79.27,23.72
30,Australia,Amazon Music,Classical,107,268,Taylor Swift,Free,Afternoon,75.88,23.05
33,USA,Apple Music,Rock,598,413,Billie Eilish,Premium,Morning,62.24,64.81
56,France,Apple Music,Rock,599,87,Post Malone,Free,Morning,41.54,60.13
28,Australia,Apple Music,Hip-Hop,494,181,BTS,Premium,Afternoon,34.3,79.19
28,India,Tidal,Jazz,500,198,Taylor Swift,Premium,Afternoon,82.77,23.55
38,Brazil,YouTube,Pop,62,86,Post Malone,Premium,Night,43.56,29.4
47,France,Deezer,Country,247,284,Dua Lipa,Free,Afternoon,66.03,49.31
19,France,Apple Music,EDM,165,54,The Weeknd,Premium,Morning,50.18,39.44
15,Japan,Tidal,Country,298,171,Drake,Premium,Night,54.25,25.97
30,Australia,Spotify,Jazz,264,417,Billie Eilish,Premium,Afternoon,68.67,77.19
16,South Korea,Tidal,EDM,149,303,Billie Eilish,Free,Night,82.22,17.26
35,UK,YouTube,Hip-Hop,212,307,Taylor Swift,Free,Night,77.31,56.83
43,USA,Tidal,Jazz,48,221,Ed Sheeran,Free,Night,30.87,36.54
42,Canada,Amazon Music,Reggae,151,195,Taylor Swift,Premium,Morning,63.01,47.74
45,France,Deezer,Hip-Hop,255,192,The Weeknd,Free,Afternoon,80.91,50.08
37,France,Spotify,Classical,444,118,The Weeknd,Free,Afternoon,66.65,79.09
55,Japan,Apple Music,Rock,112,22,The Weeknd,Free,Morning,20.32,27.83
56,UK,Spotify,Pop,467,260,Adele,Premium,Morning,32.28,61.38
47,India,Apple Music,EDM,181,4,Adele,Free,Morning,82.02,52.11
40,South Korea,Deezer,Metal,168,313,Drake,Premium,Night,87.53,65.42
16,Canada,Deezer,Rock,248,491,Drake,Premium,Morning,45.04,26.72
56,Canada,Amazon Music,Classical,478,435,Adele,Free,Night,60.01,40.32
47,France,Amazon Music,EDM,239,138,Ed Sheeran,Free,Morning,68.27,14.17
42,South Korea,Spotify,EDM,494,140,Bad Bunny,Premium,Night,38.84,48.94
21,UK,Tidal,Classical,496,67,Post Malone,Premium,Morning,70.74,33.58
14,Japan,YouTube,R&B,117,433,Bad Bunny,Free,Afternoon,75.27,30.97
39,Australia,YouTube,Pop,211,135,Ed Sheeran,Free,Afternoon,88.55,43.24
38,France,Tidal,EDM,126,441,Post Malone,Free,Morning,35.49,53.23
22,Germany,Apple Music,EDM,364,352,Post Malone,Premium,Morning,12.18,63.33
60,Germany,Spotify,Hip-Hop,57,30,Billie Eilish,Premium,Morning,45.32,54.89
21,Japan,Tidal,Rock,399,488,Bad Bunny,Free,Morning,48.09,56.19
46,India,Apple Music,Reggae,554,245,Drake,Free,Morning,84.32,38.37
46,India,Tidal,Rock,367,53,Ed Sheeran,Free,Morning,17.18,24.76
47,South Korea,Spotify,Hip-Hop,566,90,Post Malone,Free,Night,65.76,28.11
34,Australia,Apple Music,R&B,104,363,Bad Bunny,Premium,Morning,85.56,19.63
34,Australia,Tidal,Hip-Hop,296,180,Adele,Premium,Afternoon,69.68,21.23
50,Germany,Apple Music,Classical,348,286,Adele,Premium,Morning,80.79,54.32
58,UK,Amazon Music,EDM,166,183,Adele,Free,Afternoon,60.62,46.54
39,UK,Deezer,Reggae,542,182,Taylor Swift,Free,Morning,17.24,47.62
52,France,YouTube,Classical,67,116,The Weeknd,Premium,Night,11.03,28.93
33,Germany,Apple Music,Pop,42,17,Adele,Premium,Afternoon,73.86,11.63
47,South Korea,Amazon Music,EDM,36,137,Ed Sheeran,Premium,Night,37.31,53.51
19,Brazil,Apple Music,Pop,228,262,Taylor Swift,Premium,Night,38.2,57.91
31,Australia,Tidal,Pop,328,237,Ed Sheeran,Premium,Morning,67.08,5.51
35,Australia,Apple Music,Classical,101,327,Billie Eilish,Free,Morning,78.31,22.41
49,Canada,Spotify,Jazz,13,461,Post Malone,Premium,Afternoon,63.81,76.11
13,Brazil,Amazon Music,Reggae,273,110,BTS,Premium,Morning,15.81,50.06
43,UK,Tidal,R&B,557,95,The Weeknd,Premium,Night,85.12,45.3
19,UK,Amazon Music,Reggae,265,70,Taylor Swift,Free,Night,80.74,14.82
17,Australia,Spotify,Jazz,43,470,The Weeknd,Free,Night,55.6,75.76
47,USA,Tidal,EDM,405,492,Dua Lipa,Free,Night,29.61,7.6
25,South Korea,Spotify,EDM,536,243,The Weeknd,Premium,Afternoon,70.26,27.79
36,Australia,Tidal,Metal,211,31,The Weeknd,Free,Afternoon,33.13,65.51
16,South Korea,Spotify,Metal,266,359,Bad Bunny,Premium,Night,11.3,17.21
16,USA,Amazon Music,Rock,316,73,Bad Bunny,Free,Morning,21.46,65.93
34,Canada,YouTube,Rock,516,324,Ed Sheeran,Premium,Night,38.91,65.3
47,South Korea,Amazon Music,EDM,36,491,Post Malone,Premium,Afternoon,74.27,64.14
26,Australia,Deezer,Rock,493,74,Post Malone,Free,Night,42.35,6.14
35,UK,Deezer,Pop,135,320,Dua Lipa,Premium,Night,23.48,69.79
52,Japan,Amazon Music,Hip-Hop,254,308,Post Malone,Premium,Night,13.95,71.57
30,UK,Spotify,Jazz,350,261,BTS,Premium,Night,42.29,69.91
27,Brazil,Spotify,Rock,400,359,The Weeknd,Free,Afternoon,74.73,14.12
46,India,Tidal,Hip-Hop,586,80,Drake,Free,Afternoon,79.26,28.88
52,India,Apple Music,Metal,319,447,Ed Sheeran,Premium,Afternoon,32.42,8.59
50,South Korea,Amazon Music,R&B,176,143,The Weeknd,Premium,Night,17.01,74.03
26,South Korea,Tidal,Hip-Hop,316,451,Billie Eilish,Premium,Morning,32.01,23.09
52,India,Spotify,Classical,591,163,Adele,Premium,Night,46.08,36.66
38,France,Amazon Music,Country,600,208,Billie Eilish,Free,Night,79.74,55.48
59,South Korea,Amazon Music,Metal,463,208,Billie Eilish,Free,Morning,79.8,74.53
47,Australia,Spotify,Classical,586,137,The Weeknd,Free,Afternoon,48.38,68.58
17,Japan,Amazon Music,Hip-Hop,74,238,BTS,Premium,Night,75.39,67.55
36,France,Tidal,R&B,385,454,Ed Sheeran,Free,Night,58.85,46.65
56,Canada,YouTube,Hip-Hop,192,267,BTS,Free,Afternoon,51.31,70.24
40,France,Spotify,Jazz,205,357,Bad Bunny,Free,Night,15.66,48.7
49,Canada,Apple Music,Hip-Hop,551,347,Post Malone,Free,Night,72.99,43.9
41,Japan,Apple Music,Hip-Hop,24,364,Bad Bunny,Free,Night,19.49,23.07
29,South Korea,Apple Music,R&B,233,110,The Weeknd,Premium,Morning,38.58,62.79
54,France,Tidal,EDM,159,444,BTS,Premium,Night,85.07,63.91
22,UK,YouTube,Classical,147,77,Adele,Premium,Morning,48.83,32.46
42,Canada,Amazon Music,Jazz,152,124,Taylor Swift,Free,Morning,85.74,53.51
32,UK,Tidal,Pop,577,140,The Weeknd,Free,Afternoon,47.52,30.64
37,UK,Amazon Music,R&B,524,277,Billie Eilish,Premium,Morning,16.29,22.16
46,Canada,Tidal,Hip-Hop,277,347,The Weeknd,Free,Night,81.54,37.94
13,Australia,Amazon Music,Country,108,242,Dua Lipa,Free,Afternoon,45.0,60.82
33,Japan,Spotify,EDM,297,446,Billie Eilish,Free,Morning,43.19,77.81
55,Japan,Spotify,Classical,335,64,Taylor Swift,Premium,Night,10.34,40.83
48,USA,Spotify,Rock,542,274,Bad Bunny,Premium,Night,10.55,32.93
29,USA,Spotify,Metal,484,443,BTS,Free,Morning,50.57,65.81
58,South Korea,Apple Music,Rock,464,366,Post Malone,Premium,Afternoon,86.92,26.14
43,UK,Tidal,R&B,263,124,Adele,Free,Afternoon,61.51,34.28
18,India,Tidal,Hip-Hop,516,36,Billie Eilish,Premium,Afternoon,57.91,12.91
31,Japan,Amazon Music,Hip-Hop,493,448,Ed Sheeran,Free,Night,56.33,48.79
13,Brazil,YouTube,EDM,458,39,Ed Sheeran,Free,Afternoon,38.21,57.23
45,Australia,Apple Music,Reggae,14,48,Drake,Premium,Morning,15.2,37.92
23,Japan,Apple Music,Reggae,265,95,Adele,Premium,Morning,85.5,63.65
42,USA,Apple Music,Reggae,149,379,Bad Bunny,Premium,Afternoon,16.9,36.9
17,France,Tidal,Reggae,231,413,Ed Sheeran,Premium,Night,84.39,67.9
31,Japan,Apple Music,Classical,91,294,Billie Eilish,Free,Morning,32.19,41.21
46,USA,Apple Music,R&B,211,21,Taylor Swift,Free,Morning,49.94,24.35
50,India,Deezer,EDM,124,159,Dua Lipa,Premium,Morning,34.87,44.96
25,Canada,YouTube,Rock,370,18,Post Malone,Free,Night,65.54,6.97
26,India,Tidal,Classical,313,242,Billie Eilish,Premium,Night,23.01,33.14
58,South Korea,Tidal,Rock,352,136,Adele,Premium,Night,52.8,30.17
39,UK,Apple Music,Pop,411,113,Taylor Swift,Free,Night,71.82,51.32
21,Japan,Apple Music,Jazz,185,432,Post Malone,Free,Night,52.61,41.83
32,UK,Amazon Music,Rock,265,17,Bad Bunny,Free,Night,10.55,74.07
58,Germany,Apple Music,Metal,214,201,The Weeknd,Free,Afternoon,12.74,17.43
42,Australia,Deezer,Reggae,531,112,Taylor Swift,Premium,Afternoon,63.28,33.23
60,UK,Amazon Music,Reggae,566,380,Adele,Free,Night,44.71,38.82
28,UK,Tidal,Reggae,243,208,Adele,Free,Afternoon,51.34,36.69
39,France,Apple Music,Rock,96,340,BTS,Premium,Afternoon,11.38,21.27
57,South Korea,Tidal,Jazz,20,359,Billie Eilish,Premium,Morning,72.89,33.86
23,Germany,Tidal,Rock,301,486,Billie Eilish,Premium,Afternoon,57.72,63.92
54,UK,Spotify,Hip-Hop,369,223,Dua Lipa,Premium,Morning,66.74,37.68
48,India,Tidal,R&B,269,88,Ed Sheeran,Free,Afternoon,59.23,60.2
18,Germany,Spotify,EDM,582,10,Drake,Free,Afternoon,47.49,64.89
41,Germany,Spotify,Rock,589,320,BTS,Free,Night,67.02,72.5
38,South Korea,Spotify,R&B,471,299,The Weeknd,Free,Night,20.59,56.23
45,UK,Tidal,Hip-Hop,300,335,Billie Eilish,Premium,Afternoon,38.78,52.29
22,South Korea,YouTube,EDM,118,51,Drake,Free,Night,48.99,28.59
26,UK,Apple Music,Metal,515,91,BTS,Premium,Morning,36.19,33.21
22,Canada,YouTube,Reggae,239,349,Post Malone,Premium,Night,35.3,17.04
24,South Korea,Apple Music,Rock,33,107,Ed Sheeran,Free,Morning,52.92,5.11
30,Japan,Amazon Music,Classical,509,460,Drake,Free,Afternoon,19.41,49.36
45,Australia,Tidal,Jazz,585,56,Ed Sheeran,Free,Afternoon,61.02,20.16
20,Canada,Spotify,Pop,407,97,Billie Eilish,Premium,Night,70.21,56.65
58,Australia,YouTube,Rock,354,249,Dua Lipa,Premium,Night,68.79,16.3
56,Canada,YouTube,Hip-Hop,64,313,Drake,Premium,Morning,61.43,44.25
34,Australia,Apple Music,Reggae,558,38,Ed Sheeran,Free,Night,62.87,60.02
47,Australia,Deezer,Country,285,208,Billie Eilish,Free,Afternoon,43.81,20.28
44,USA,YouTube,Reggae,504,281,Post Malone,Premium,Afternoon,25.99,15.5
44,Australia,Amazon Music,Rock,458,320,Bad Bunny,Premium,Morning,76.95,75.61
15,Canada,Deezer,Country,563,479,Dua Lipa,Free,Afternoon,88.04,28.43
50,Brazil,Deezer,Hip-Hop,114,282,Ed Sheeran,Free,Morning,89.41,9.68
29,UK,Tidal,Jazz,498,461,Dua Lipa,Free,Morning,47.19,24.5
22,South Korea,Deezer,EDM,182,242,Post Malone,Premium,Morning,81.36,69.15
17,India,Deezer,Classical,267,241,Post Malone,Free,Night,39.46,58.36
38,France,Deezer,R&B,579,253,Billie Eilish,Premium,Afternoon,17.83,39.23
51,France,YouTube,Classical,31,423,Post Malone,Premium,Night,24.26,66.01
32,France,Tidal,Jazz,342,193,Drake,Premium,Afternoon,32.48,49.89
32,South Korea,Tidal,Country,389,95,Ed Sheeran,Premium,Morning,75.83,65.45
23,Brazil,Spotify,Rock,349,246,BTS,Premium,Night,69.95,11.67
41,Brazil,Deezer,Jazz,203,13,Adele,Free,Night,26.99,58.29
49,India,Tidal,Pop,569,178,Bad Bunny,Premium,Afternoon,46.31,16.51
14,Australia,YouTube,Pop,364,171,Ed Sheeran,Premium,Night,11.74,46.14
37,Germany,Apple Music,Metal,29,153,Dua Lipa,Free,Night,30.09,75.41
27,Japan,Spotify,Country,459,187,Adele,Premium,Night,85.87,30.6
24,Germany,YouTube,Reggae,408,500,Post Malone,Free,Night,45.91,20.16
39,UK,Spotify,Jazz,467,245,Adele,Premium,Night,68.71,63.9
42,Brazil,YouTube,EDM,46,145,The Weeknd,Premium,Night,40.63,19.34
47,Japan,Amazon Music,Hip-Hop,62,341,Ed Sheeran,Free,Morning,41.62,8.59
45,France,YouTube,Reggae,419,383,Bad Bunny,Premium,Night,60.53,47.23
26,Brazil,Tidal,Rock,369,449,The Weeknd,Free,Night,59.27,55.8
25,France,Amazon Music,Metal,585,192,BTS,Premium,Afternoon,56.1,79.51
38,Germany,Tidal,Rock,440,218,Bad Bunny,Premium,Morning,72.78,51.73
43,South Korea,Spotify,R&B,484,492,Adele,Premium,Morning,34.4,42.45
59,Canada,Deezer,EDM,386,199,Dua Lipa,Free,Morning,22.75,29.81
44,Brazil,Apple Music,Reggae,225,461,Post Malone,Premium,Night,81.69,52.19
50,Germany,YouTube,Classical,290,283,Post Malone,Premium,Morning,12.68,62.34
31,Japan,Spotify,Country,160,463,Adele,Premium,Morning,72.16,9.46
13,Canada,Tidal,EDM,263,177,Post Malone,Free,Morning,35.23,34.37
55,Brazil,Spotify,Country,581,434,Bad Bunny,Premium,Night,44.52,65.62
55,Brazil,YouTube,Reggae,368,319,Post Malone,Premium,Morning,22.32,27.68
48,Japan,Apple Music,Jazz,543,472,Ed Sheeran,Free,Night,45.63,33.26
58,Germany,Tidal,Classical,444,19,BTS,Free,Night,25.77,31.4
39,USA,Spotify,Hip-Hop,155,218,Bad Bunny,Premium,Night,77.96,26.73
49,USA,Amazon Music,Metal,308,291,BTS,Premium,Night,87.76,54.94
33,France,Tidal,Pop,517,246,Drake,Premium,Night,14.89,64.34
36,UK,Amazon Music,R&B,576,479,Bad Bunny,Premium,Morning,72.2,19.25
60,South Korea,Apple Music,EDM,328,99,BTS,Free,Night,29.73,67.42
49,Brazil,Deezer,Pop,548,48,Post Malone,Free,Morning,87.59,44.4
15,India,Apple Music,EDM,223,311,BTS,Free,Morning,82.04,67.28
54,Canada,YouTube,Country,257,416,Drake,Premium,Morning,35.82,72.41
21,Australia,Amazon Music,Country,551,421,Ed Sheeran,Free,Night,49.2,42.1
51,UK,Deezer,EDM,331,419,Bad Bunny,Free,Night,18.73,70.15
48,Japan,Deezer,Reggae,15,125,Ed Sheeran,Premium,Morning,58.42,56.73
31,France,Deezer,EDM,207,496,Adele,Premium,Night,38.51,74.4
58,Japan,YouTube,Hip-Hop,62,20,BTS,Premium,Afternoon,54.95,50.76
52,Germany,Spotify,Rock,554,279,Taylor Swift,Free,Afternoon,46.34,16.5
54,Brazil,YouTube,Jazz,371,91,Bad Bunny,Premium,Night,74.08,57.59
14,France,Tidal,Country,564,37,Post Malone,Premium,Afternoon,45.16,23.49
28,India,Spotify,Jazz,81,379,Dua Lipa,Premium,Night,84.67,46.57
16,South Korea,Tidal,Hip-Hop,501,258,BTS,Free,Morning,54.08,41.25
37,USA,Spotify,Hip-Hop,288,193,The Weeknd,Free,Afternoon,26.9,69.16
33,Canada,YouTube,Hip-Hop,441,68,Adele,Premium,Morning,85.12,9.73
47,Japan,Tidal,Pop,503,262,BTS,Free,Night,53.65,26.95
53,USA,Apple Music,Rock,29,154,The Weeknd,Free,Afternoon,61.66,48.42
29,Brazil,Deezer,Country,430,141,Bad Bunny,Free,Afternoon,24.23,72.08
44,South Korea,Spotify,Classical,429,442,Post Malone,Free,Afternoon,78.46,27.32
35,Brazil,Tidal,Rock,387,164,Bad Bunny,Premium,Night,43.33,72.47
15,Canada,Tidal,Reggae,407,476,Drake,Premium,Night,71.21,35.7
59,South Korea,Deezer,Reggae,500,194,Billie Eilish,Premium,Night,45.88,46.77
53,USA,Amazon Music,Pop,149,110,The Weeknd,Free,Afternoon,47.11,50.35
46,USA,Deezer,Rock,199,429,Taylor Swift,Premium,Afternoon,41.41,9.12
22,Brazil,Amazon Music,Hip-Hop,482,128,Dua Lipa,Premium,Afternoon,36.94,44.12
